mysql: [Warning] Using a password on the command line interface can be insecure.
print_product_type	size_id	dpum	designer_supported	proof_supported	render_mask	render_overlay	output_format	allow_multipage_output	trim_round_corner_radius	safe_round_corner_radius
40	NULL	350	0	0	0	0	0	0	0	0
23	NULL	350	10	2	0	0	0	0	0	0
2	NULL	350	10	2	0	0	0	0	0	0
20	NULL	350	10	2	0	0	0	0	0	0
27	NULL	350	10	2	0	0	0	0	0	0
29	NULL	350	10	2	1	1	0	0	0	0
33	NULL	350	0	0	0	0	0	0	0	0
35	NULL	350	10	2	1	1	0	0	0	0
39	NULL	350	10	2	1	1	0	0	0	0
39	5269	350	10	2	0	0	0	0	0	0
15	NULL	350	10	2	1	1	0	0	0	0
30	NULL	350	10	2	0	0	0	0	0	0
38	NULL	350	10	2	0	0	0	0	0	0
9	NULL	350	10	2	1	1	0	0	0	0
2000	NULL	350	0	0	0	0	0	0	0	0
2001	NULL	350	0	0	0	0	0	0	0	0
2002	NULL	350	0	0	0	0	0	0	0	0
2003	NULL	350	0	0	0	0	0	0	0	0
2004	NULL	350	0	0	0	0	0	0	0	0
2005	NULL	350	0	0	0	0	0	0	0	0
7	NULL	350	10	2	0	0	0	0	0	0
17	NULL	150	10	2	0	0	0	0	0	0
18	NULL	150	10	2	0	0	0	0	0	0
19	NULL	150	10	2	0	0	0	0	0	0
37	NULL	150	10	2	1	1	0	0	0	0
37	374	150	10	2	1	1	0	0	0	0
37	313	150	10	2	0	0	0	0	0	0
37	514	150	10	2	0	0	0	0	0	0
16	NULL	150	10	2	0	0	0	0	0	0
41	NULL	150	10	2	1	1	0	0	0	0
26	456	350	10	2	0	0	0	0	0	0
26	NULL	350	0	0	0	0	0	0	0	0
26	458	350	10	2	0	0	0	0	0	0
13	NULL	350	10	2	0	0	0	0	0	0
11	NULL	350	10	2	0	0	0	0	0	0
12	NULL	350	10	2	0	0	0	0	0	0
24	NULL	350	10	2	0	0	0	0	0	0
21	NULL	350	10	2	0	0	0	0	0	0
36	NULL	350	10	2	1	1	0	0	0	0
1002	NULL	350	0	0	0	0	0	0	0	0
5	NULL	350	10	2	0	0	0	0	0	0
31	NULL	350	2	2	0	0	0	0	0	0
14	NULL	350	0	0	0	0	0	0	0	0
1	NULL	350	10	2	0	0	0	0	0	0
32	NULL	350	10	2	0	0	0	0	0	0
4	NULL	350	10	2	0	0	0	0	0	0
6	NULL	350	8	2	0	0	0	0	0	0
10	NULL	350	10	2	0	0	0	0	0	0
8	NULL	350	10	2	0	0	0	0	0	0
3	NULL	350	10	2	0	0	0	0	0	0
22	NULL	350	10	2	0	0	0	0	0	0
37	303	150	10	2	0	0	0	0	0	0
28	NULL	350	10	2	0	0	0	0	0	0
