print_product_type	size_id	designer_supported	proof_supported	render_mask	render_overlay	output_format	allow_multipage_output	trim_round_corner_radius	safe_round_corner_radius
10002	NULL	2	2	0	0	0	0	0	0
10003	NULL	2	2	0	0	0	0	0	0
10004	NULL	2	2	0	0	0	0	0	0
10005	NULL	2	2	0	0	0	0	0	0
10006	NULL	4	2	0	0	0	0	0	0
10008	10063	2	2	0	1	0	0	0	0
10008	NULL	2	2	0	0	0	0	0	0
10008	10072	2	2	0	1	0	0	0	0
10008	10073	2	2	0	1	0	0	0	0
10009	NULL	2	2	0	0	0	0	0	0
10010	NULL	2	2	0	0	0	0	0	0
10011	10099	2	2	0	0	0	0	0.875	0.875
10011	10100	2	2	0	0	0	0	0.875	0.875
10012	NULL	2	2	0	0	0	0	0	0
10013	10121	2	2	0	0	0	0	0.75	0.75
10013	10149	2	2	1	1	0	0	0	0
10013	10112	2	2	0	0	0	0	0.75	0.75
10013	10141	2	2	0	0	0	0	0.75	0.75
10013	10132	2	2	0	0	0	0	0.75	0.75
10013	10158	2	2	0	0	0	0	0.75	0.75
10013	10123	2	2	0	0	0	0	0.75	0.75
10013	10150	2	2	1	1	0	0	0	0
10013	10113	2	2	0	0	0	0	0.75	0.75
10013	10142	2	2	1	1	0	0	0	0
10013	10133	2	2	0	0	0	0	0.75	0.75
10013	10159	2	2	0	0	0	0	0.75	0.75
10013	10124	2	2	1	1	0	0	0	0
10013	10151	2	2	1	1	0	0	0	0
10013	10116	2	2	0	0	0	0	0.75	0.75
10013	10145	2	2	0	0	0	0	0.75	0.75
10013	10136	2	2	0	0	0	0	0.75	0.75
10013	10127	2	2	0	0	0	0	0.75	0.75
10013	10152	2	2	1	1	0	0	0	0
10013	10117	2	2	0	0	0	0	0.75	0.75
10013	10146	2	2	0	0	0	0	0.75	0.75
10013	10137	2	2	0	0	0	0	0.75	0.75
10013	10128	2	2	0	0	0	0	0.75	0.75
10013	10154	2	2	0	0	0	0	0.75	0.75
10013	10120	2	2	0	0	0	0	0.75	0.75
10013	10148	2	2	0	0	0	0	0.75	0.75
10013	NULL	2	2	0	0	0	0	0	0
10013	10140	2	2	0	0	0	0	0.75	0.75
10013	10129	2	2	1	1	0	0	0	0
10013	10155	2	2	1	1	0	0	0	0
10014	10174	2	2	1	1	0	0	0	0
10014	10201	2	2	1	1	0	0	0	0
