print_product_type	size_id	designer_supported	proof_supported	render_mask	render_overlay	output_format	allow_multipage_output	trim_round_corner_radius	safe_round_corner_radius
1	NULL	10	2	0	0	0	0	0	0
2	NULL	10	2	0	0	0	0	0	0
3	NULL	10	2	0	0	0	0	0	0
4	NULL	10	2	0	0	0	0	0	0
5	NULL	10	2	0	0	0	0	0	0
6	NULL	8	2	0	0	0	0	0	0
7	NULL	10	2	0	0	0	0	0	0
8	NULL	10	2	0	0	0	0	0	0
9	NULL	10	2	1	1	0	0	0	0
10	NULL	10	2	0	0	0	0	0	0
11	NULL	10	2	0	0	0	0	0	0
12	NULL	10	2	0	0	0	0	0	0
13	NULL	10	2	0	0	0	0	0	0
14	NULL	0	0	0	0	0	0	0	0
15	NULL	10	2	1	1	0	0	0	0
16	NULL	10	2	0	0	0	0	0	0
16	577	0	0	0	0	0	0	0	0
16	579	0	0	0	0	0	0	0	0
16	581	0	0	0	0	0	0	0	0
16	583	0	0	0	0	0	0	0	0
16	600	0	0	0	0	0	0	0	0
16	602	0	0	0	0	0	0	0	0
16	604	0	0	0	0	0	0	0	0
16	606	0	0	0	0	0	0	0	0
16	621	0	0	0	0	0	0	0	0
16	623	0	0	0	0	0	0	0	0
16	625	0	0	0	0	0	0	0	0
16	627	0	0	0	0	0	0	0	0
16	641	0	0	0	0	0	0	0	0
16	643	0	0	0	0	0	0	0	0
16	645	0	0	0	0	0	0	0	0
16	672	0	0	0	0	0	0	0	0
16	674	0	0	0	0	0	0	0	0
16	676	0	0	0	0	0	0	0	0
16	678	0	0	0	0	0	0	0	0
16	701	0	0	0	0	0	0	0	0
16	703	0	0	0	0	0	0	0	0
16	705	0	0	0	0	0	0	0	0
16	707	0	0	0	0	0	0	0	0
16	5224	0	0	0	0	0	0	0	0
16	5226	0	0	0	0	0	0	0	0
16	5228	0	0	0	0	0	0	0	0
16	5230	0	0	0	0	0	0	0	0
16	5232	0	0	0	0	0	0	0	0
16	5234	0	0	0	0	0	0	0	0
16	5236	0	0	0	0	0	0	0	0
17	NULL	10	2	0	0	0	0	0	0
18	NULL	10	2	0	0	0	0	0	0
19	NULL	10	2	0	0	0	0	0	0
20	NULL	10	2	0	0	0	0	0	0
21	NULL	10	2	0	0	0	0	0	0
22	NULL	10	2	0	1	0	0	0	0
23	NULL	10	2	0	0	0	0	0	0
24	NULL	10	2	0	0	0	0	0	0
26	NULL	0	0	0	1	0	0	0	0
26	456	10	2	0	1	0	0	0	0
26	458	10	2	0	1	0	0	0	0
27	NULL	10	2	0	0	0	0	0	0
28	NULL	10	2	0	0	0	0	0	0
29	NULL	10	2	1	1	0	0	0	0
30	NULL	10	2	0	1	0	0	0	0
31	NULL	2	2	0	0	0	0	0	0
32	NULL	10	2	0	0	0	0	0	0
33	NULL	0	0	0	0	0	0	0	0
35	NULL	10	2	1	1	0	0	0	0
36	NULL	10	2	1	1	0	0	0	0
37	NULL	10	2	1	1	0	0	0	0
37	303	10	2	0	0	0	0	0	0
37	313	10	2	0	0	0	0	0	0
37	374	10	2	1	1	0	0	0	0
37	514	10	2	0	0	0	0	0	0
38	NULL	10	2	0	0	0	0	0	0
39	NULL	10	2	1	1	0	0	0	0
39	5269	10	2	0	0	0	0	0	0
40	NULL	0	0	0	0	0	0	0	0
41	NULL	10	2	1	1	0	0	0	0
1002	NULL	0	0	0	0	0	0	0	0
2000	NULL	0	0	0	0	0	0	0	0
2001	NULL	0	0	0	0	0	0	0	0
2002	NULL	0	0	0	0	0	0	0	0
2003	NULL	0	0	0	0	0	0	0	0
2004	NULL	0	0	0	0	0	0	0	0
2005	NULL	0	0	0	0	0	0	0	0
